NOM;SOUS_TYPE;CODE_INSEE;geometry
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.22676677, 43.85999376]}
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.19668004, 43.85622484]}
PARKING AUTO;PARKING AUTO;06033;{"type": "Point", "coordinates": [7.19299646, 43.76920994]}
PARKING AUTO;PARKING AUTO;06122;{"type": "Point", "coordinates": [7.14332252, 43.74917644]}
PARKING AUTO;PARKING AUTO;06122;{"type": "Point", "coordinates": [7.14232128, 43.74768658]}
PARKING AUTO;PARKING AUTO;06122;{"type": "Point", "coordinates": [7.14091175, 43.74634343]}
PARKING AUTO;PARKING AUTO;06122;{"type": "Point", "coordinates": [7.14476131, 43.75000645]}
PARKING AUTO;PARKING AUTO;06122;{"type": "Point", "coordinates": [7.14431075, 43.74885271]}
PARKING AUTO DE CARROS VILLAGE;PARKING AUTO;06033;{"type": "Point", "coordinates": [7.18869715, 43.79358796]}
PARKING AUTO;PARKING AUTO;06009;{"type": "Point", "coordinates": [7.12568144, 43.98290715]}
PARKING AUTO;PARKING AUTO;06033;{"type": "Point", "coordinates": [7.18529424, 43.79215359]}
PARKING AUTO;PARKING AUTO;06151;{"type": "Point", "coordinates": [7.24880853, 43.91620412]}
PARKING DE LA MEDIATHEQUE;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.11584605, 43.71978501]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.11513616, 43.72071161]}
PARKING AUTO;PARKING AUTO;06147;{"type": "Point", "coordinates": [7.27607512, 43.785681]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.10515541, 43.72378087]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.10744004, 43.72263742]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.11039483, 43.72230275]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.11574903, 43.72221665]}
PARKING AUTO;PARKING AUTO;06147;{"type": "Point", "coordinates": [7.27256605, 43.79129492]}
PARKING AUTO;PARKING AUTO;06126;{"type": "Point", "coordinates": [7.19047093, 43.81871123]}
PARKING AUTO;PARKING AUTO;06126;{"type": "Point", "coordinates": [7.19199588, 43.82199223]}
PARKING AUTO;PARKING AUTO;06126;{"type": "Point", "coordinates": [7.19168402, 43.82114672]}
PARKING AUTO;PARKING AUTO;06126;{"type": "Point", "coordinates": [7.19188856, 43.82180562]}
PARKING AUTO;PARKING AUTO;06033;{"type": "Point", "coordinates": [7.19287706, 43.77457473]}
