stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STOPPOINT:03372,,"Guillaume Village - R - GUILLAUMES","",44.088851,6.853596,,,0,STOPAREA:01193,,
STOPPOINT:03409,,"St Josèph Carnolès - ROQUEBRUNE - CA","",43.765523,7.482506,,,0,,,
STOPPOINT:03444,,"Mairie - TURBIE (LA)","",43.745395,7.399678,,,0,STOPAREA:00914,,
STOPPOINT:03446,,"Nice - Robini - R - NICE","",43.681693,7.198743,,,0,,,
STOPPOINT:03447,,"Lingostière C.C. - A - NICE","",43.727685,7.18874,,,0,STOPAREA:01888,,
STOPPOINT:03449,,"Pont Saintt Martin - ST-MT-ENTRAUNES","",44.13684,6.766934,,,0,STOPAREA:03541,,
STOPPOINT:03450,,"La Chapelle - SIGALE","",43.873522,6.968986,,,0,,,
STOPPOINT:03452,,"Palais Nikaïa - NICE","",43.680554,7.199217,,,0,,,
STOPPOINT:03453,,"Santoline - NICE","",43.675398,7.20173,,,0,,,
STOPPOINT:03458,,"Gilette - Les Coteaux - A - GILETTE","",43.836865,7.188054,,,0,,,
STOPPOINT:03459,,"Les Coteaux - GILETTE","",43.837194,7.188302,,,0,,,
STOPPOINT:03461,,"Gilette - GILETTE","",43.851834,7.164288,,,0,STOPAREA:01908,,
STOPPOINT:03466,,"La Poste - GILETTE","",43.850964,7.163761,,,0,,,
STOPPOINT:03468,,"Revest - Collet Des Sausses - A - REVEST-LS-ROCHE","",43.866223,7.165063,,,0,,,
STOPPOINT:03469,,"Collet Des Sausses - REVEST-LS-ROCHE","",43.866333,7.164713,,,0,STOPAREA:01830,,
STOPPOINT:03486,,"La Garde Sud - BLAUSASC","",43.804662,7.356157,,,0,,,
STOPPOINT:03504,,"Enriez - ENRIEZ","",43.981561,6.758459,,,0,STOPAREA:01821,,
STOPPOINT:03505,,"Enriez - R - ENRIEZ","",43.982326,6.758833,,,0,STOPAREA:01821,,
STOPPOINT:03517,,"Tende - NICE","",43.711756,7.285355,,,0,,,
STOPPOINT:03518,,"Pont Vincent Auriol - NICE","",43.715094,7.282866,,,0,,,
STOPPOINT:03519,,"Pont Vincent Auriol - NICE","",43.716305,7.283186,,,0,,,
STOPPOINT:03520,,"Cité PLM - NICE","",43.71978,7.286726,,,0,,,
STOPPOINT:03521,,"Cité PLM - R - NICE","",43.719753,7.286331,,,0,,,
STOPPOINT:03522,,"La Chaumière - NICE","",43.730443,7.285542,,,0,,,
STOPPOINT:03523,,"La Chaumière - NICE","",43.730625,7.285291,,,0,,,
STOPPOINT:03524,,"Bon Voyage - NICE","",43.731731,7.289839,,,0,,,
STOPPOINT:03525,,"Bon Voyage - NICE","",43.731811,7.289785,,,0,STOPAREA:01538,,
STOPPOINT:03526,,"L'Oli - TRINITE (LA)","",43.735392,7.306349,,,0,,,
