trip_id,contract_company_id,exec_company_id
LR100R|20181215|4,77,77
LR100R|20181215|41,77,77
LR100R|20181215|42,77,77
LR100R|20181215|43,77,77
LR100R|20181215|44,77,77
LR100R|20181215|45,77,77
LR100R|20181215|46,77,77
LR100R|20181215|47,77,77
LR100R|20181215|48,77,77
LR100R|20181215|49,77,77
LR100R|20181215|5,77,77
LR100R|20181215|50,77,77
LR100R|20181215|51,77,77
LR100R|20181215|52,77,77
LR100R|20181215|53,77,77
LR100R|20181215|54,77,77
LR100R|20181215|55,77,77
LR100R|20181215|56,77,77
LR100R|20181215|57,77,77
LR100R|20181215|58,77,77
LR100R|20181215|59,77,77
LR100R|20181215|6,77,77
LR100R|20181215|62,77,77
LR100R|20181215|64,77,77
LR100R|20181215|65,77,77
LR100R|20181215|66,77,77
LR100R|20181215|67,77,77
LR100R|20181215|68,77,77
LR100R|20181215|69,77,77
LR100R|20181215|7,77,77
LR100R|20181215|70,77,77
LR100R|20181215|71,77,77
LR100R|20181215|72,77,77
LR100R|20181215|73,77,77
LR100R|20181215|74,77,77
LR100R|20181215|76,77,77
LR100R|20181215|78,77,77
LR100R|20181215|80,77,77
LR100R|20181215|83,77,77
LR100R|20181215|84,77,77
LR100R|20181215|85,77,77
LR100R|20181215|87,77,77
LR100R|20181215|88,77,77
LR100R|20181215|89,77,77
LR100R|20181215|9,77,77
LR100R|20181215|90,77,77
LR100R|20181215|91,77,77
LR100R|20181215|92,77,77
LR100R|20181215|93,77,77
LR100R|20181215|94,77,77
LR100R|20181215|95,77,77
LR100R|20181215|96,77,77
LR100R|20181215|97,77,77
LR100R|20181215|98,77,77
LR100R|20181215|99,77,77
LR100R3|20181217|1,77,77
LR100R3|20181217|10,77,77
LR100R3|20181217|11,77,77
LR100R3|20181217|13,77,77
LR100R3|20181217|15,77,77
LR100R3|20181217|16,77,77
LR100R3|20181217|17,77,77
LR100R3|20181217|18,77,77
LR100R3|20181217|19,77,77
LR100R3|20181217|2,77,77
LR100R3|20181217|21,77,77
LR100R3|20181217|22,77,77
LR100R3|20181217|23,77,77
LR100R3|20181217|24,77,77
LR100R3|20181217|25,77,77
LR100R3|20181217|26,77,77
LR100R3|20181217|27,77,77
LR100R3|20181217|28,77,77
LR100R3|20181217|29,77,77
LR100R3|20181217|31,77,77
LR100R3|20181217|5,77,77
LR100R3|20181217|6,77,77
LR100R3|20181217|7,77,77
LR100R3|20181217|8,77,77
LR100R3|20181217|9,77,77
LR100XA1|20180101|1,77,77
LR100XA1|20180101|21,77,77
LR100XA1|20180101|22,77,77
LR100XA1|20180101|23,77,77
LR100XA1|20180101|24,77,77
LR100XA1|20180101|25,77,77
LR100XA1|20180101|26,77,77
LR100XA2|20181112|21,77,77
LR100XA2|20181112|22,77,77
LR100XR1|20180101|1,77,77
LR100XR1|20180101|2,77,77
LR100XR1|20180101|3,77,77
LR100XR1|20180101|4,77,77
LR100XR1|20180101|5,77,77
LR100XR1|20180101|6,77,77
LR100XR1|20180101|7,77,77
LR100XR1|20180101|8,77,77
LR100XR1|20180101|9,77,77
LR110A1|20181113|1,77,77
LR110A1|20181113|10,77,77
LR110A1|20181113|11,77,77
LR110A1|20181113|12,77,77
LR110A1|20181113|13,77,77
LR110A1|20181113|14,77,77
LR110A1|20181113|15,77,77
LR110A1|20181113|16,77,77
LR110A1|20181113|17,77,77
LR110A1|20181113|18,77,77
LR110A1|20181113|19,77,77
LR110A1|20181113|20,77,77
LR110A1|20181113|21,77,77
LR110A1|20181113|22,77,77
LR110A1|20181113|23,77,77
LR110A1|20181113|24,77,77
LR110A1|20181113|25,77,77
LR110A1|20181113|26,77,77
LR110A1|20181113|27,77,77
LR110A1|20181113|28,77,77
LR110A1|20181113|29,77,77
LR110A1|20181113|30,77,77
LR110A1|20181113|5,77,77
LR110A1|20181113|6,77,77
LR110A1|20181113|7,77,77
LR110A1|20181113|8,77,77
LR110A1|20181113|9,77,77
LR110R1|20180101|1,77,77
LR110R1|20180101|10,77,77
LR110R1|20180101|11,77,77
LR110R1|20180101|12,77,77
LR110R1|20180101|13,77,77
LR110R1|20180101|14,77,77
LR110R1|20180101|15,77,77
LR110R1|20180101|2,77,77
LR110R1|20180101|3,77,77
LR110R1|20180101|4,77,77
LR110R1|20180101|5,77,77
LR110R1|20180101|6,77,77
LR110R1|20180101|7,77,77
LR110R1|20180101|8,77,77
LR110R1|20180101|9,77,77
LR110R2|20181112|1,77,77
LR110R2|20181112|10,77,77
LR110R2|20181112|11,77,77
LR110R2|20181112|12,77,77
LR110R2|20181112|2,77,77
LR110R2|20181112|3,77,77
LR110R2|20181112|4,77,77
LR110R2|20181112|5,77,77
LR110R2|20181112|6,77,77
LR110R2|20181112|7,77,77
LR110R2|20181112|8,77,77
LR110R2|20181112|9,77,77
LR112A1|20181112|1,77,77
LR112A1|20181112|2,77,77
LR112A1|20181112|4,77,77
LR112A1|20181112|5,77,77
LR112A1|20181112|6,77,77
